Comune,Provincia,Regione,Elenco pubblicato?,Numero beni trasferiti da Openregio,"Data di pubblicazione, se disponibile",Formato di pubblicazione,"Sono indicati foglio, particella e subpartice","Tipologia dell'immobile È indicato, per ogni bene, se si tratta di un terreno, una villa, un appartamento, un box, un fabbricato rurale ecc.?",Ubicazione È indicato l'indirizzo e il numero civico di ogni bene?, È indicata la consistenza del bene in mq o in ettari?,È specificata quale sia la destinazione del bene tra istituzionale e sociale?,Utilizzazione 1 - È specificato se il bene è già riutilizzato?,Utilizzazione 2 - È indicato l'utilizzo specifico?,È indicata la ragione sociale specifica del soggetto gestore?, È inserito un riferimento all'atto amministrativo di concessione?,È indicato l'oggetto dell'atto di concessione?, È specificata la durata dell'affidamento al concessionario?, Nome Province,Provincia Estesa,Latitudine Provincia,Longitudine Provincia
ANVERSA DEGLI ABRUZZI,AQ,Abruzzo,no,1,,,no,no,no,no,no,no,no,no,no,no,no,AQ,L'Aquila,42.35,13.4
AVEZZANO,AQ,Abruzzo,no,1,,,no,no,no,no,no,no,no,no,no,no,no,AQ,L'Aquila,42.35,13.4
CASTEL DI SANGRO,AQ,Abruzzo,si,1,2017-05-18,Pdf - Immagine,si,si,si,no,si,si,si,no,si,si,si,AQ,L'Aquila,42.35,13.4
OVINDOLI,AQ,Abruzzo,no,2,,,no,no,no,no,no,no,no,no,no,no,no,AQ,L'Aquila,42.35,13.4
PESCASSEROLI,AQ,Abruzzo,no,3,,,no,no,no,no,no,no,no,no,no,no,no,AQ,L'Aquila,42.35,13.4
PESCOCOSTANZO,AQ,Abruzzo,no,2,,,no,no,no,no,no,no,no,no,no,no,no,AQ,L'Aquila,42.35,13.4
RIVISONDOLI,AQ,Abruzzo,no,2,,,no,no,no,no,no,no,no,no,no,no,no,AQ,L'Aquila,42.35,13.4
SCURCOLA MARSICANA,AQ,Abruzzo,si,3,2020-03-09,,si,si,si,si,no,si,no,no,no,no,no,AQ,L'Aquila,42.35,13.4
TAGLIACOZZO,AQ,Abruzzo,no,3,,,no,no,no,no,no,no,no,no,no,no,no,AQ,L'Aquila,42.35,13.4
FRISA,CH,Abruzzo,no,3,,,no,no,no,no,no,no,no,no,no,no,no,CH,Chieti,42.35,14.1667
LANCIANO,CH,Abruzzo,si,5,2019-12-17,Pdf - Ricercabile,si,si,si,no,si,si,si,si,no,si,si,CH,Chieti,42.35,14.1667
PIZZOFERRATO,CH,Abruzzo,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CH,Chieti,42.35,14.1667
SAN GIOVANNI TEATINO,CH,Abruzzo,no,2,,,no,no,no,no,no,no,no,no,no,no,no,CH,Chieti,42.35,14.1667
SAN VITO CHIETINO,CH,Abruzzo,no,3,,,no,no,no,no,no,no,no,no,no,no,no,CH,Chieti,42.35,14.1667
SANTA MARIA IMBARO,CH,Abruzzo,no,5,,,no,no,no,no,no,no,no,no,no,no,no,CH,Chieti,42.35,14.1667
VASTO,CH,Abruzzo,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CH,Chieti,42.35,14.1667
MONTESILVANO,PE,Abruzzo,si,7,2018-12-01,Pdf - Ricercabile,si,si,si,no,si,si,no,si,si,si,no,PE,Pescara,42.45,14.2167
PESCARA,PE,Abruzzo,si,30,2020-07-08,Pdf - Ricercabile,si,si,si,si,no,si,no,no,no,no,no,PE,Pescara,42.45,14.2167
TORRE DE' PASSERI,PE,Abruzzo,no,1,,,no,no,no,no,no,no,no,no,no,no,no,PE,Pescara,42.45,14.2167
ALBA ADRIATICA,TE,Abruzzo,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TE,Teramo,42.6667,13.7167
BASCIANO,TE,Abruzzo,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TE,Teramo,42.6667,13.7167
CAMPLI,TE,Abruzzo,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TE,Teramo,42.6667,13.7167
CANZANO,TE,Abruzzo,no,7,,,no,no,no,no,no,no,no,no,no,no,no,TE,Teramo,42.6667,13.7167
CASTELLALTO,TE,Abruzzo,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TE,Teramo,42.6667,13.7167
MARTINSICURO,TE,Abruzzo,no,6,,,no,no,no,no,no,no,no,no,no,no,no,TE,Teramo,42.6667,13.7167
MOSCIANO SANT'ANGELO,TE,Abruzzo,no,4,,,no,no,no,no,no,no,no,no,no,no,no,TE,Teramo,42.6667,13.7167
ROSETO DEGLI ABRUZZI,TE,Abruzzo,si,1,,Pdf - Immagine,si,no,si,no,si,si,no,no,no,no,no,TE,Teramo,42.6667,13.7167
SILVI,TE,Abruzzo,si,4,2018-12-05,Pdf - Ricercabile,si,si,si,si,si,si,no,no,no,no,no,TE,Teramo,42.6667,13.7167
TERAMO,TE,Abruzzo,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TE,Teramo,42.6667,13.7167
TORTORETO,TE,Abruzzo,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TE,Teramo,42.6667,13.7167
MATERA,MT,Basilicata,si,6,,Csv,no,si,si,no,si,no,no,no,si,si,si,MT,Matera,40.6833,16.6
PALAZZO SAN GERVASIO,PZ,Basilicata,no,3,,,no,no,no,no,no,no,no,no,no,no,no,PZ,Potenza,40.6333,15.8167
POTENZA,PZ,Basilicata,si,2,2017-12-01,Pdf - Ricercabile,si,si,si,si,no,no,si,no,no,no,no,PZ,Potenza,40.6333,15.8167
ALTOMONTE,CS,Calabria,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
AMANTEA,CS,Calabria,no,4,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
BELMONTE CALABRO,CS,Calabria,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
BELVEDERE MARITTIMO,CS,Calabria,no,20,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
CARIATI,CS,Calabria,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
CASSANO ALL'IONIO,CS,Calabria,si,51,,Pdf - Ricercabile,si,si,si,si,si,no,si,si,si,no,si,CS,Cosenza,39.2833,16.25
CASTROVILLARI,CS,Calabria,si,3,2017-05-25,Pdf - Ricercabile,si,si,si,si,no,no,no,si,si,no,no,CS,Cosenza,39.2833,16.25
COSENZA,CS,Calabria,si,8,2019-07-22,Pdf - Ricercabile,si,si,si,si,no,no,no,no,si,si,si,CS,Cosenza,39.2833,16.25
DIAMANTE,CS,Calabria,no,2,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
FIUMEFREDDO BRUZIO,CS,Calabria,no,2,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
FUSCALDO,CS,Calabria,no,2,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
MARANO PRINCIPATO,CS,Calabria,no,2,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
MENDICINO,CS,Calabria,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
RENDE,CS,Calabria,si,8,,Immagine,si,si,si,no,si,no,si,no,si,no,no,CS,Cosenza,39.2833,16.25
ROSETO CAPO SPULICO,CS,Calabria,no,2,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
SAN FILI,CS,Calabria,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
SAN NICOLA ARCELLA,CS,Calabria,no,47,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
SANTA MARIA DEL CEDRO,CS,Calabria,si,5,2017-12-01,Pdf - Ricercabile,si,si,no,no,no,no,si,no,si,si,no,CS,Cosenza,39.2833,16.25
SCALEA,CS,Calabria,no,30,,,no,no,no,no,no,no,no,no,no,no,no,CS,Cosenza,39.2833,16.25
